address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
199 Water Street,,Y,N,N,1000747501,1001162,MANHATTAN,Y,Y,N,1502,N,New York,1,1,N,N,"Founded in 1876, The Legal Aid Society is the nation's oldest and largest not-for-profit organization providing high quality legal services to low-income families and individuals in New York City.  The Legal Aid Society is an indispensable component of the legal, social, and economic fabric of New York City-- passionately advocating for individuals across a variety of civil, criminal and juvenile rights matters, while also fighting for legal reform.  The Legal Aid Society has performed this role in the city, state and federal courts for over 130 years.  It does so by capitalizing on the diverse expertise, experience and capabilities of 850 of the brightest legal minds.  It works with 600 social workers, investigators, paralegals, and support and administrative staff in every borough of the city.  It takes on more cases for more clients than any other organization in New York City.  And it brings a depth and breadth of perspective that is unmatched in the legal profession.  The Legal Aid Society at the vanguard of the cause of equal justice under law for all people. Its unique value is an ability to go beyond any one case to create more equitable outcomes for individuals and broader, more powerful systemic change for society as a whole.  The Legal Aid Society operates through a network of borough, neighbohood and courthouse offices in 25 locations in New York City and provides comprehensive legal services in all five boroughs free of charge for clients who cannot afford to pay for counsel.  In addition to the three major practices: Civil, Criminal and Juvenile Rights, The Legal Aid Society receives volunteer help from law firms and corporate law departments that is coordinated by the Pro Bono Practice.  The Legal Aid Society handles more than 295,000 cases and legal matters for clients each year. The Civil Practice handles more than 30,000 client matters providing assistance to the most vulnerable New Yorkers, including senior citizens, chronically ill or disabled children and adults, survivors of domestic violence, immigrants, low-wage or unemployed workers, persons living with HIV/AIDS, and homeless or imminently homeless children and adults.   The Criminal Practice, the primary provider of indigent defense services in New York City, is comprised of trial offices in the four major boroughs, an Appeals Bureau, a Parole Revocvation Defense Unit, an Adolescent Intervention and Diversion Unit and a MICA Unit for mentally ill, chemically addicted clients. The Criminal Practice handles a total of 235,000 cases. The Juvenile Rights Practice's core client service is the representation of children in Family Court in abuse and neglect cases, juvenile delinquency matters, and persons in need of supervision.  The Practice handles approximatley 90 percnt of these cases in the Family Court and  represents more than 30,000 children.",Y,N,Y,Y,N,2125098432,N,N,N,Y,Y,N,40.70727,Y,N,"{'latitude': '40.70727', 'needs_recoding': False, 'longitude': '-74.004314'}",-74.004314,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,The Legal Aid Society,N,N,,N,2125773300,10038,N,Published,Y,Y,http://www.legal-aid.org,N,Y,N
26 Bleecker Street,,N,N,N,1005210037,1008186,MANHATTAN,Y,Y,N,5502,N,New York,2,1,N,Y,"Planned Parenthood of New York City provides sexual and reproductive health services and education to women, men, and teens, regardless of age, income, or immigration status.",N,N,Y,N,N,2122747276,N,Y,N,N,N,N,40.725564,N,N,"{'latitude': '40.725564', 'needs_recoding': False, 'longitude': '-73.993488'}",-73.993488,Y,N,N,Y,N,West Village                                                               ,Planned Parenthood of New York City,N,N,,N,2122747200,10012,N,Published,Y,Y,http://www.plannedparenthood.org/nyc/,N,N,N
519 West 189th Street,Ground Floor,N,N,N,1021590067,1063854,MANHATTAN,N,N,Y,277,N,New York,12,10,N,Y,"The Dominican Women's Development Center is a not-for-profit organization created to contribute to the empowerment of Dominican/Latina, other women and our families who reside in Washington Heights/Inwood and other New York City communities. Our mission is to aid in the growth and development of our self esteem by affirming our identity and solidarity through multicultural and holistic social services, and educational, economic and cultural development programs. The Center is committed to the organizing of women to actively participate in the elimination of gender inequality and the promotion of social justice!",N,N,Y,Y,N,2129946065,N,Y,N,N,Y,N,40.853427,N,N,"{'latitude': '40.853427', 'needs_recoding': False, 'longitude': '-73.927961'}",-73.927961,Y,N,N,Y,N,Washington Heights North                                                   ,Dominican Women's Development Center,N,N,,N,2129946060,10040,N,Published,N,N,http://www.dwdc.org,N,Y,N
50 East 168th Street,,N,N,N,2024800001,2101464,BRONX    ,Y,N,Y,197,N,Bronx,4,16,N,N,"WHEDCo works with families who struggle with the multiple challenges presented by poverty, and who, like all of us, aspire to a healthy, financially stable future. WHEDCo offers interconnected, innovative, and high quality solutions including the building of healthy, affordable homes and because of this, tour communities are more beautiful, more equitable, and more economically vibrant places to live and raise a family.",N,N,Y,N,N,7188391170,N,N,N,Y,N,N,40.836725,N,N,"{'latitude': '40.836725', 'needs_recoding': False, 'longitude': '-73.919292'}",-73.919292,N,N,N,Y,N,West Concourse                                                             ,Women's Housing and Economic Development Corporation,N,N,,N,7188391100,10452,N,Published,Y,N,http://www.whedco.org/home/php,N,N,Y
541 East 12th STreet,,N,Y,Y,1004060044,1005225,MANHATTAN,N,Y,N,34,N,New York,3,2,N,N,"The Girls & Boys Projects is an educational organization dedicated to bringing gender-based empowerment programs to young people in public schools and community-based organizations throughout New York City and beyond.

Our programs ""The Girls Projects & The Boys Project"" engage youth around gender and other social issues through democratic, learner-centered curricula and workshops. Our educational approach revolves around creating a safe space for young people to find their voice, develop self-awareness, understand the world around them, and become advocates for social change.",N,N,Y,N,N,,N,Y,N,N,Y,N,40.728667,N,N,"{'latitude': '40.728667', 'needs_recoding': False, 'longitude': '-73.980308'}",-73.980308,Y,N,N,Y,N,East Village                                                               ,The Girls & Boys Projects,N,N,,N,2125053184,10009,N,Published,N,N,http://www.gp-bp.org,N,N,N
243-02 Northern Boulevard,,N,N,N,4081800001,4170072,QUEENS   ,N,N,N,150701,N,Douglaston,11,19,N,Y,"We are a community-based mental health outpatient clinic (Article 31), licensed by NY State,and are a division of the Jewish Board of Family & Children's Services, Inc.  We provide mental health counseling and treatment to clients from age 4, by Social Workers, individually, in family sessions and in group sessions as well. Our psychiatrists provide medication and psychiatric evaluations  and work with our therapists as a team.
The Clinic accepts most health insurances, and we have private pay clients as well.",N,N,N,N,N,7184239762,N,N,N,N,N,N,40.765469,N,N,"{'latitude': '40.765469', 'needs_recoding': False, 'longitude': '-73.742885'}",-73.742885,N,N,N,Y,N,Douglas Manor-Douglaston-Little Neck                                       ,Pride of Judea Community Services,N,N,,N,7184236200,11362,N,Published,Y,N,http://www.jbfcs.org,N,Y,N
1440 Broadway,16th Floor,N,N,N,1009930011,1022563,MANHATTAN,N,N,N,113,N,New York,5,4,N,N,"The After-School Corporation (TASC) is dedicated to giving all kids opportunities to grow through after-school and summer activities that support, educate and inspire them.  

TASC's vision is that kids from all backgrounds will have access to the range of high quality activities beyond the school day that every family wants for their children: experiences that support their intellectual, creative and healthy development and help them to be their best, in and out of school.

TASC builds collaborations among public and private partners to ensure that learning beyond the traditional school hours remains part of the public agenda and receives the necessary resources.  We enhance the quality of programs by supporting the people and organizations that work to keep kids safe and engaged.  We innovate, support and evaluate models that expand the time and ways kids learn and can be scaled to reach large numbers of students.",N,N,Y,N,N,6469438800,N,N,N,N,N,N,40.754611,N,N,"{'latitude': '40.754611', 'needs_recoding': False, 'longitude': '-73.986761'}",-73.986761,Y,N,N,Y,N,Midtown-Midtown South                                                      ,The After-School Corporation,N,N,,N,6469438700,10018,Y,Published,N,N,http://www.tascorp.org,N,N,N
997 East 163rd Street,,N,Y,Y,2027240001,2099787,BRONX    ,Y,N,Y,159,N,Bronx,2,17,N,Y,"Simpson Street Development Association (SISDA) is a Community Based Organization servicing the youth and families of the South Bronx for the past 43 years. In the area of education, employment, training,summer camp, counseling and social services.",N,N,Y,Y,N,7189912940,N,Y,N,N,N,N,40.820985,N,N,"{'latitude': '40.820985', 'needs_recoding': False, 'longitude': '-73.893398'}",-73.893398,N,N,N,Y,Y,Hunts Point                                                                ,"Simpson Street Development Association,Inc",N,N,,N,7185891510,10459,N,Published,N,N,,N,N,N
333 East 100th Street,Ground Floor,N,N,Y,1016720017,1087440,MANHATTAN,N,N,N,164,N,New York,11,8,N,N,"Harlem RBI is an innovative community-based organization in East Harlem, New York. Harlem RBI's mission is to provide inner-city youth with opportunities to Play, Learn and Grow. We use the power of teams to Coach, Teach, and Inspire youth to recognize their potential and realize their dreams. 

Harlem RBI's programs include year-round baseball and softball teams, an after-school program, internship opportunities, a counseling and referral service, The REAL (Reading and Enrichment Academy of Learning) Kids summer program, and Team Enrichment, group-based activities program for junior high school participants.",N,N,Y,N,N,2127221862,N,Y,N,N,N,N,40.786209,N,N,"{'latitude': '40.786209', 'needs_recoding': False, 'longitude': '-73.943789'}",-73.943789,Y,N,N,Y,N,East Harlem South                                                          ,Harlem RBI (Reviving Baseball in Inner Cities),N,N,,N,2127221608,10029,N,Published,N,N,http://www.harlemrbi.org,N,N,N
14 West 170th Street,,N,N,N,2028560029,2008292,BRONX    ,Y,N,N,219,Y,New York City,4,16,N,Y,"Faith-Based  organization committed to: Educating, and Empowering People, the Church and Society.",N,N,Y,Y,N,7186812360,N,N,N,N,N,N,40.840421,N,N,"{'latitude': '40.840421', 'needs_recoding': False, 'longitude': '-73.918293'}",-73.918293,N,N,N,Y,N,Highbridge                                                                 ,Latino Pastoral Action Center,N,N,,N,7186812361,10452,Y,Published,N,N,http://www.LPACMINISTRIES.COM,N,N,N
12 West 21st Street,3rd Floor,N,N,N,1008220049,1015502,MANHATTAN,Y,Y,N,54,Y,New York,5,3,N,Y,"The Day Care Council of New York, Inc. is a non-profit organization providing child care information, referrals and assistance to families, child care providers, and community partners.",N,N,Y,N,N,2122067836,N,N,N,N,N,N,40.740558,N,N,"{'latitude': '40.740558', 'needs_recoding': False, 'longitude': '-73.991238'}",-73.991238,Y,N,N,Y,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Day Care Council of New York Inc.,N,N,,N,2122067818,10010,N,Published,Y,Y,http://www.dccnhinc.org,N,N,N
342 Broadway,,N,N,N,1001700001,1085786,MANHATTAN,N,N,N,31,N,New York,1,1,N,N,"Youth Represent provides full legal representation to youth age 24 and under when they get arrested for committing a crime.  We represent youth in criminal court and family court, and in other legal problems stemming from an arrest, including school suspension hearings, housing evictions, and employment discrimination actions. Please call for an appointment.",N,N,N,N,N,,N,N,N,N,N,N,40.716539,Y,N,"{'latitude': '40.716539', 'needs_recoding': False, 'longitude': '-74.0043'}",-74.0043,Y,N,N,Y,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Youth Represent,N,N,,N,2125536314,10013,N,Published,N,N,http://www.youthrepresent.org,N,N,N
"127 West 127th Street, 3rd Floor",,N,N,N,1019120012,1057904,MANHATTAN,N,N,N,224,Y,New York,10,9,N,Y,"Northern Manhattan Perinatal Partnership, Inc. ( NMPP ) is a not-for-Profit organization comprised of a network of public and private agencies, community residents,health organizations and local businesses.  NMPP provides crucial services to woemn and children in Central, West and East Harlem and Washington Heights.  NMPP's mission is to save babies and help women take charge of their reproductive, social and economic lives.  We achieve this mission by offering a number of programs that help reduce the infant mortality rate and increase the self-sufficiency of poor and working class women throughout the above communities. Our programs include: 
Comprehensive Prenatal-Perinatal Services Network ( CPPSN)  The Network coordinates outreach and education campaigns, collects and analyze perinatal data, and identifies gaps in service delivery and filling them programmatically. 
SisterLink (CAPC Initiative) is an HIV prevention program focused onr educing the incidence of perinatal transmission of HIV. The program targets high-risk women affording them access to specialized prenatal care and comprehensive service.  
Community Health Worker Program (CHWP) is a case management program that provides healtha nd family support services to 200 pregnant and parenting families in East Hearlem.  CHWP services include advocay, referrals, home visits, outreach and child health insurance enrollment service.  The program serves residents in the 10029 and 10035 zip codes.  
Central HArlem Healthy Start is a community service system that attempts to address disparities in infant mortality and other perinatal health indicators in the Central Harlem community by focusing on reducing known contributing factors and improving access to necessary services. 
Saint Nicholas Family Life Support Network is an Administation for Children Services' funded preventative service program thar provides individual, group and family counseling and supportive services to address at-risk families with children whao have a high probability of entering the NYC foseter care system.  
Managed Care Consumer Assistacne Program ( MCCAP) program offiers NYC residents education and information about managed care plan options, applying for medical insurance, filing exemptions from choosing a Medicaid MAnaged Care Plan, and filing a grievance against any health insurance company.",N,N,N,N,N,2126651842,N,Y,N,N,N,N,40.809488,N,N,"{'latitude': '40.809488', 'needs_recoding': False, 'longitude': '-73.945496'}",-73.945496,Y,N,N,Y,Y,Central Harlem North-Polo Grounds                                          ,"Northern Manhattan Perinatal Partnership, Inc",N,N,,N,2126652600,10027,N,Published,N,N,,N,N,N
